REF_DATE,GEO,DGUID,Age.at.time.of.death,Sex,Leading.causes.of.death..ICD.10.,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,7,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,6,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,9,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,11,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,12,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,43,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,45,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,45,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,42,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,45,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,45,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,45,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,45,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,43,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,46,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,46,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,46,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,45,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,47,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,45,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,46,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,46,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,43,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,46,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,45,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,45,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Rank of leading causes of death,Number,223,units,0,v41341043,1.1.1.2.1,46,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,1,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,1,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,1,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,2,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,1,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,1,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Shigellosis and amoebiasis [A03, A06]",Number of deaths,Number,223,units,0,v41341044,1.1.1.2.2,0,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,30,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,30,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,31,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,32,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,31,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,31,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,32,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,31,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,35,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,34,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,33,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,33,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,33,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,33,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,32,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,33,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,33,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,34,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,34,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,34,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Tuberculosis [A16-A19],Rank of leading causes of death,Number,223,units,0,v41341045,1.1.1.3.1,34,,NA,NA,0
