Year,Leading_Cause_Death,Ranking,Number_Death
2020,Parkinson's disease [G20-G21],13,3458
2021,Parkinson's disease [G20-G21],13,3489
2022,Parkinson's disease [G20-G21],12,3617
2018,Alzheimer's disease [G30],8,6439
2019,Alzheimer's disease [G30],8,6181
2020,Alzheimer's disease [G30],9,5788
2021,Alzheimer's disease [G30],8,5471
2022,Alzheimer's disease [G30],9,5413
2018,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,54203
2019,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,53364
2020,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,54430
2021,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,55271
2022,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,57357
2018,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",17,1451
2019,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",15,1588
2020,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",15,1964
2021,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",15,1983
2022,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",16,2074
2018,Cerebrovascular diseases [I60-I69],4,13547
2019,Cerebrovascular diseases [I60-I69],4,13717
2020,Cerebrovascular diseases [I60-I69],5,13761
2021,Cerebrovascular diseases [I60-I69],5,13491
2022,Cerebrovascular diseases [I60-I69],5,13915
2018,Atherosclerosis [I70],20,526
2019,Atherosclerosis [I70],21,531
2020,Atherosclerosis [I70],24,538
2021,Atherosclerosis [I70],24,468
2022,Atherosclerosis [I70],25,471
2018,Aortic aneurysm and dissection [I71],16,1601
2019,Aortic aneurysm and dissection [I71],16,1584
2020,Aortic aneurysm and dissection [I71],18,1537
2021,Aortic aneurysm and dissection [I71],18,1544
2022,Aortic aneurysm and dissection [I71],18,1509
2018,Influenza and pneumonia [J09-J18],6,8594
2019,Influenza and pneumonia [J09-J18],7,6945
2020,Influenza and pneumonia [J09-J18],8,6037
2021,Influenza and pneumonia [J09-J18],10,4115
2022,Influenza and pneumonia [J09-J18],8,5985
2018,Acute bronchitis and bronchiolitis [J20-J21],35,63
2019,Acute bronchitis and bronchiolitis [J20-J21],37,22
2020,Acute bronchitis and bronchiolitis [J20-J21],40,20
2021,Acute bronchitis and bronchiolitis [J20-J21],41,7
2022,Acute bronchitis and bronchiolitis [J20-J21],39,20
2018,Chronic lower respiratory diseases [J40-J47],5,13070
2019,Chronic lower respiratory diseases [J40-J47],5,12902
2020,Chronic lower respiratory diseases [J40-J47],6,11844
2021,Chronic lower respiratory diseases [J40-J47],6,11018
2022,Chronic lower respiratory diseases [J40-J47],6,12462
2018,"Pneumoconioses and chemical effects [J60-J66, J68]",32,114
2019,"Pneumoconioses and chemical effects [J60-J66, J68]",31,110
2020,"Pneumoconioses and chemical effects [J60-J66, J68]",33,119
2021,"Pneumoconioses and chemical effects [J60-J66, J68]",33,127
2022,"Pneumoconioses and chemical effects [J60-J66, J68]",34,109
2018,Pneumonitis due to solids and liquids [J69],15,1616
2019,Pneumonitis due to solids and liquids [J69],17,1573
2020,Pneumonitis due to solids and liquids [J69],17,1686
2021,Pneumonitis due to solids and liquids [J69],16,1912
2022,Pneumonitis due to solids and liquids [J69],15,2104
2018,Peptic ulcer [K25-K28],24,443
2019,Peptic ulcer [K25-K28],23,490
2020,Peptic ulcer [K25-K28],23,555
2021,Peptic ulcer [K25-K28],23,575
2022,Peptic ulcer [K25-K28],23,561
2018,Diseases of appendix [K35-K38],36,40
2019,Diseases of appendix [K35-K38],35,47
2020,Diseases of appendix [K35-K38],36,48
2021,Diseases of appendix [K35-K38],36,57
2022,Diseases of appendix [K35-K38],36,64
2018,Hernia [K40-K46],25,423
2019,Hernia [K40-K46],25,446
2020,Hernia [K40-K46],26,429
2021,Hernia [K40-K46],25,464
2022,Hernia [K40-K46],24,498
2018,"Chronic liver disease and cirrhosis [K70, K73-K74]",11,3573
2019,"Chronic liver disease and cirrhosis [K70, K73-K74]",11,3708
2020,"Chronic liver disease and cirrhosis [K70, K73-K74]",10,4199
2021,"Chronic liver disease and cirrhosis [K70, K73-K74]",9,4617
2022,"Chronic liver disease and cirrhosis [K70, K73-K74]",10,4530
2018,Cholelithiasis and other disorders of gallbladder [K80-K82],23,457
2019,Cholelithiasis and other disorders of gallbladder [K80-K82],24,488
2020,Cholelithiasis and other disorders of gallbladder [K80-K82],25,511
2021,Cholelithiasis and other disorders of gallbladder [K80-K82],22,629
2022,Cholelithiasis and other disorders of gallbladder [K80-K82],22,565
2018,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",10,3613
2019,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",10,3770
2020,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",12,4065
2021,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",11,3978
2022,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",11,4234
2018,"Infections of kidney [N10-N12, N13.6, N15.1]",29,163
2019,"Infections of kidney [N10-N12, N13.6, N15.1]",28,168
2020,"Infections of kidney [N10-N12, N13.6, N15.1]",29,188
2021,"Infections of kidney [N10-N12, N13.6, N15.1]",30,203
2022,"Infections of kidney [N10-N12, N13.6, N15.1]",30,207
2018,Hyperplasia of prostate [N40],30,150
2019,Hyperplasia of prostate [N40],30,123
2020,Hyperplasia of prostate [N40],29,188
2021,Hyperplasia of prostate [N40],31,172
2022,Hyperplasia of prostate [N40],31,203
2018,Inflammatory diseases of female pelvic organs [N70-N76],39,17
2019,Inflammatory diseases of female pelvic organs [N70-N76],38,20
2020,Inflammatory diseases of female pelvic organs [N70-N76],38,26
2021,Inflammatory diseases of female pelvic organs [N70-N76],37,41
2022,Inflammatory diseases of female pelvic organs [N70-N76],37,34
2018,"Pregnancy, childbirth and the puerperium [O00-O99]",37,34
2019,"Pregnancy, childbirth and the puerperium [O00-O99]",36,32
2020,"Pregnancy, childbirth and the puerperium [O00-O99]",37,34
2021,"Pregnancy, childbirth and the puerperium [O00-O99]",38,30
2022,"Pregnancy, childbirth and the puerperium [O00-O99]",38,30
2018,Certain conditions originating in the perinatal period [P00-P96],19,1033
2019,Certain conditions originating in the perinatal period [P00-P96],18,1009
2020,Certain conditions originating in the perinatal period [P00-P96],20,939
2021,Certain conditions originating in the perinatal period [P00-P96],19,964
2022,Certain conditions originating in the perinatal period [P00-P96],20,959
2018,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",18,1084
2019,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",18,1009
2020,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",19,1060
2021,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",20,930
2022,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",19,1037
2018,"COVID-19 [U07.1, U07.2, U10.9]",NA,NA
2019,"COVID-19 [U07.1, U07.2, U10.9]",NA,NA
2020,"COVID-19 [U07.1, U07.2, U10.9]",4,15890
2021,"COVID-19 [U07.1, U07.2, U10.9]",4,14466
2022,"COVID-19 [U07.1, U07.2, U10.9]",3,19716
2018,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3,15855
2019,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3,15527
2020,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3,16818
2021,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3,19257
2022,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",4,18365
2018,"Intentional self-harm (suicide) [X60-X84, Y87.0]",9,4576
2019,"Intentional self-harm (suicide) [X60-X84, Y87.0]",9,4581
2020,"Intentional self-harm (suicide) [X60-X84, Y87.0]",11,4152
2021,"Intentional self-harm (suicide) [X60-X84, Y87.0]",12,3769
2022,"Intentional self-harm (suicide) [X60-X84, Y87.0]",13,3593
2018,"Assault (homicide) [X85-Y09, Y87.1]",22,517
2019,"Assault (homicide) [X85-Y09, Y87.1]",21,531
2020,"Assault (homicide) [X85-Y09, Y87.1]",22,559
2021,"Assault (homicide) [X85-Y09, Y87.1]",26,431
2022,"Assault (homicide) [X85-Y09, Y87.1]",27,306
2018,"Legal intervention [Y35, Y89.0]",38,18
2019,"Legal intervention [Y35, Y89.0]",39,14
2020,"Legal intervention [Y35, Y89.0]",39,22
2021,"Legal intervention [Y35, Y89.0]",39,11
2022,"Legal intervention [Y35, Y89.0]",41,9
2018,"Operations of war and their sequelae [Y36, Y89.1]",46,0
2019,"Operations of war and their sequelae [Y36, Y89.1]",46,0
2020,"Operations of war and their sequelae [Y36, Y89.1]",44,1
2021,"Operations of war and their sequelae [Y36, Y89.1]",45,1
2022,"Operations of war and their sequelae [Y36, Y89.1]",46,0
2018,"Complications of medical and surgical care [Y40-Y84, Y88]",28,168
2019,"Complications of medical and surgical care [Y40-Y84, Y88]",29,162
2020,"Complications of medical and surgical care [Y40-Y84, Y88]",31,169
2021,"Complications of medical and surgical care [Y40-Y84, Y88]",29,205
2022,"Complications of medical and surgical care [Y40-Y84, Y88]",28,279
2018,Other causes of death,NA,57203
2019,Other causes of death,NA,58893
2020,Other causes of death,NA,62898
2021,Other causes of death,NA,66268
2022,Other causes of death,NA,78354
2018,"Total, all causes of death [A00-Y89]",NA,5238
2019,"Total, all causes of death [A00-Y89]",NA,5267
2020,"Total, all causes of death [A00-Y89]",NA,5443
2021,"Total, all causes of death [A00-Y89]",NA,5865
2022,"Total, all causes of death [A00-Y89]",NA,6406
2018,Salmonella infections [A01-A02],35,0
2019,Salmonella infections [A01-A02],35,0
2020,Salmonella infections [A01-A02],35,0
2021,Salmonella infections [A01-A02],31,1
2022,Salmonella infections [A01-A02],37,0
2018,"Shigellosis and amoebiasis [A03, A06]",35,0
2019,"Shigellosis and amoebiasis [A03, A06]",35,0
2020,"Shigellosis and amoebiasis [A03, A06]",35,0
2021,"Shigellosis and amoebiasis [A03, A06]",35,0
2022,"Shigellosis and amoebiasis [A03, A06]",37,0
2018,Tuberculosis [A16-A19],27,2
2019,Tuberculosis [A16-A19],32,1
2020,Tuberculosis [A16-A19],35,0
2021,Tuberculosis [A16-A19],31,1
2022,Tuberculosis [A16-A19],32,1
2018,Whooping cough [A37],35,0
2019,Whooping cough [A37],35,0
2020,Whooping cough [A37],35,0
2021,Whooping cough [A37],35,0
2022,Whooping cough [A37],37,0
2018,"Scarlet fever and erysipelas [A38, A46]",35,0
2019,"Scarlet fever and erysipelas [A38, A46]",35,0
2020,"Scarlet fever and erysipelas [A38, A46]",35,0
2021,"Scarlet fever and erysipelas [A38, A46]",35,0
2022,"Scarlet fever and erysipelas [A38, A46]",37,0
2018,Meningococcal infection [A39],30,1
2019,Meningococcal infection [A39],35,0
2020,Meningococcal infection [A39],35,0
2021,Meningococcal infection [A39],35,0
2022,Meningococcal infection [A39],32,1
2018,Sepsis [A40-A41],14,35
2019,Sepsis [A40-A41],15,36
2020,Sepsis [A40-A41],13,50
2021,Sepsis [A40-A41],14,48
2022,Sepsis [A40-A41],14,53
2018,Syphilis [A50-A53],35,0
2019,Syphilis [A50-A53],35,0
2020,Syphilis [A50-A53],35,0
2021,Syphilis [A50-A53],35,0
2022,Syphilis [A50-A53],37,0
2018,Acute poliomyelitis [A80],35,0
2019,Acute poliomyelitis [A80],35,0
2020,Acute poliomyelitis [A80],35,0
2021,Acute poliomyelitis [A80],35,0
2022,Acute poliomyelitis [A80],37,0
2018,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",35,0
2019,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",35,0
2020,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",35,0
2021,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",35,0
2022,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",37,0
2018,Measles [B05],35,0
2019,Measles [B05],35,0
2020,Measles [B05],35,0
2021,Measles [B05],35,0
2022,Measles [B05],37,0
2018,Viral hepatitis [B15-B19],30,1
2019,Viral hepatitis [B15-B19],29,2
2020,Viral hepatitis [B15-B19],32,1
2021,Viral hepatitis [B15-B19],28,3
2022,Viral hepatitis [B15-B19],28,3
2018,Human immunodeficiency virus [HIV] disease [B20-B24],35,0
2019,Human immunodeficiency virus [HIV] disease [B20-B24],29,2
2020,Human immunodeficiency virus [HIV] disease [B20-B24],35,0
2021,Human immunodeficiency virus [HIV] disease [B20-B24],29,2
2022,Human immunodeficiency virus [HIV] disease [B20-B24],32,1
2018,Malaria [B50-B54],35,0
2019,Malaria [B50-B54],35,0
2020,Malaria [B50-B54],35,0
2021,Malaria [B50-B54],35,0
2022,Malaria [B50-B54],37,0
2018,Malignant neoplasms [C00-C97],1,1467
2019,Malignant neoplasms [C00-C97],1,1500
2020,Malignant neoplasms [C00-C97],1,1576
2021,Malignant neoplasms [C00-C97],1,1698
2022,Malignant neoplasms [C00-C97],1,1462
2018,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",14,35
2019,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",16,30
2020,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",16,30
2021,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",16,35
2022,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",15,38
2018,Anaemias [D50-D64],20,12
2019,Anaemias [D50-D64],20,14
2020,Anaemias [D50-D64],20,12
2021,Anaemias [D50-D64],24,8
2022,Anaemias [D50-D64],21,11
2018,Diabetes mellitus [E10-E14],5,217
2019,Diabetes mellitus [E10-E14],5,207
2020,Diabetes mellitus [E10-E14],3,278
2021,Diabetes mellitus [E10-E14],4,253
2022,Diabetes mellitus [E10-E14],6,221
2018,Nutritional deficiencies [E40-E64],22,7
2019,Nutritional deficiencies [E40-E64],27,3
2020,Nutritional deficiencies [E40-E64],29,3
2021,Nutritional deficiencies [E40-E64],26,5
2022,Nutritional deficiencies [E40-E64],32,1
2018,"Meningitis [G00, G03]",35,0
2019,"Meningitis [G00, G03]",35,0
2020,"Meningitis [G00, G03]",30,2
2021,"Meningitis [G00, G03]",31,1
2022,"Meningitis [G00, G03]",30,2
2018,Parkinson's disease [G20-G21],11,56
2019,Parkinson's disease [G20-G21],11,59
2020,Parkinson's disease [G20-G21],11,64
2021,Parkinson's disease [G20-G21],12,56
2022,Parkinson's disease [G20-G21],12,63
2018,Alzheimer's disease [G30],10,64
2019,Alzheimer's disease [G30],12,44
2020,Alzheimer's disease [G30],14,42
2021,Alzheimer's disease [G30],13,49
2022,Alzheimer's disease [G30],13,61
2018,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,1060
2019,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,993
2020,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,1023
2021,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,1086
2022,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,939
2018,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",13,48
2019,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",14,38
2020,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",10,70
2021,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",11,61
2022,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",16,35
2018,Cerebrovascular diseases [I60-I69],3,268
2019,Cerebrovascular diseases [I60-I69],4,270
2020,Cerebrovascular diseases [I60-I69],4,273
2021,Cerebrovascular diseases [I60-I69],3,274
2022,Cerebrovascular diseases [I60-I69],4,255
2018,Atherosclerosis [I70],21,10
2019,Atherosclerosis [I70],22,8
2020,Atherosclerosis [I70],21,11
2021,Atherosclerosis [I70],26,5
2022,Atherosclerosis [I70],22,8
2018,Aortic aneurysm and dissection [I71],14,35
2019,Aortic aneurysm and dissection [I71],13,39
2020,Aortic aneurysm and dissection [I71],15,41
2021,Aortic aneurysm and dissection [I71],15,41
2022,Aortic aneurysm and dissection [I71],17,30
2018,Influenza and pneumonia [J09-J18],7,152
2019,Influenza and pneumonia [J09-J18],7,134
2020,Influenza and pneumonia [J09-J18],9,84
2021,Influenza and pneumonia [J09-J18],10,64
2022,Influenza and pneumonia [J09-J18],10,73
2018,Acute bronchitis and bronchiolitis [J20-J21],35,0
2019,Acute bronchitis and bronchiolitis [J20-J21],35,0
2020,Acute bronchitis and bronchiolitis [J20-J21],35,0
2021,Acute bronchitis and bronchiolitis [J20-J21],35,0
2022,Acute bronchitis and bronchiolitis [J20-J21],37,0
2018,Chronic lower respiratory diseases [J40-J47],4,261
2019,Chronic lower respiratory diseases [J40-J47],3,284
2020,Chronic lower respiratory diseases [J40-J47],5,239
2021,Chronic lower respiratory diseases [J40-J47],5,220
2022,Chronic lower respiratory diseases [J40-J47],5,238
2018,"Pneumoconioses and chemical effects [J60-J66, J68]",35,0
2019,"Pneumoconioses and chemical effects [J60-J66, J68]",27,3
2020,"Pneumoconioses and chemical effects [J60-J66, J68]",32,1
2021,"Pneumoconioses and chemical effects [J60-J66, J68]",35,0
2022,"Pneumoconioses and chemical effects [J60-J66, J68]",37,0
2018,Pneumonitis due to solids and liquids [J69],17,26
2019,Pneumonitis due to solids and liquids [J69],18,17
2020,Pneumonitis due to solids and liquids [J69],17,24
2021,Pneumonitis due to solids and liquids [J69],18,24
2022,Pneumonitis due to solids and liquids [J69],19,22
2018,Peptic ulcer [K25-K28],30,1
2019,Peptic ulcer [K25-K28],23,6
2020,Peptic ulcer [K25-K28],23,5
2021,Peptic ulcer [K25-K28],29,2
2022,Peptic ulcer [K25-K28],23,6
2018,Diseases of appendix [K35-K38],30,1
2019,Diseases of appendix [K35-K38],35,0
2020,Diseases of appendix [K35-K38],35,0
2021,Diseases of appendix [K35-K38],35,0
2022,Diseases of appendix [K35-K38],37,0
2018,Hernia [K40-K46],25,5
2019,Hernia [K40-K46],23,6
2020,Hernia [K40-K46],23,5
2021,Hernia [K40-K46],23,11
2022,Hernia [K40-K46],23,6
2018,"Chronic liver disease and cirrhosis [K70, K73-K74]",12,54
2019,"Chronic liver disease and cirrhosis [K70, K73-K74]",9,76
2020,"Chronic liver disease and cirrhosis [K70, K73-K74]",8,85
2021,"Chronic liver disease and cirrhosis [K70, K73-K74]",8,92
2022,"Chronic liver disease and cirrhosis [K70, K73-K74]",9,84
2018,Cholelithiasis and other disorders of gallbladder [K80-K82],22,7
2019,Cholelithiasis and other disorders of gallbladder [K80-K82],21,11
2020,Cholelithiasis and other disorders of gallbladder [K80-K82],22,8
2021,Cholelithiasis and other disorders of gallbladder [K80-K82],19,17
2022,Cholelithiasis and other disorders of gallbladder [K80-K82],20,18
2018,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",8,102
2019,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",8,109
2020,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",7,120
2021,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",7,142
2022,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",8,111
2018,"Infections of kidney [N10-N12, N13.6, N15.1]",27,2
2019,"Infections of kidney [N10-N12, N13.6, N15.1]",29,2
2020,"Infections of kidney [N10-N12, N13.6, N15.1]",30,2
2021,"Infections of kidney [N10-N12, N13.6, N15.1]",35,0
2022,"Infections of kidney [N10-N12, N13.6, N15.1]",27,4
2018,Hyperplasia of prostate [N40],27,2
2019,Hyperplasia of prostate [N40],32,1
2020,Hyperplasia of prostate [N40],27,4
2021,Hyperplasia of prostate [N40],31,1
2022,Hyperplasia of prostate [N40],30,2
2018,Inflammatory diseases of female pelvic organs [N70-N76],30,1
2019,Inflammatory diseases of female pelvic organs [N70-N76],32,1
2020,Inflammatory diseases of female pelvic organs [N70-N76],35,0
2021,Inflammatory diseases of female pelvic organs [N70-N76],35,0
2022,Inflammatory diseases of female pelvic organs [N70-N76],32,1
2018,"Pregnancy, childbirth and the puerperium [O00-O99]",35,0
2019,"Pregnancy, childbirth and the puerperium [O00-O99]",35,0
2020,"Pregnancy, childbirth and the puerperium [O00-O99]",32,1
2021,"Pregnancy, childbirth and the puerperium [O00-O99]",35,0
2022,"Pregnancy, childbirth and the puerperium [O00-O99]",37,0
2018,Certain conditions originating in the perinatal period [P00-P96],19,16
2019,Certain conditions originating in the perinatal period [P00-P96],19,16
2020,Certain conditions originating in the perinatal period [P00-P96],19,14
2021,Certain conditions originating in the perinatal period [P00-P96],21,13
2022,Certain conditions originating in the perinatal period [P00-P96],25,5
2018,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",18,21
2019,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",17,19
2020,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",18,22
2021,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",17,25
2022,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",18,23
2018,"COVID-19 [U07.1, U07.2, U10.9]",NA,NA
2019,"COVID-19 [U07.1, U07.2, U10.9]",NA,NA
2020,"COVID-19 [U07.1, U07.2, U10.9]",23,5
2021,"COVID-19 [U07.1, U07.2, U10.9]",20,14
2022,"COVID-19 [U07.1, U07.2, U10.9]",3,298
2018,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",6,181
2019,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",6,161
2020,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",6,198
2021,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",6,218
2022,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",7,189
2018,"Intentional self-harm (suicide) [X60-X84, Y87.0]",9,72
2019,"Intentional self-harm (suicide) [X60-X84, Y87.0]",10,60
2020,"Intentional self-harm (suicide) [X60-X84, Y87.0]",12,58
2021,"Intentional self-harm (suicide) [X60-X84, Y87.0]",9,78
2022,"Intentional self-harm (suicide) [X60-X84, Y87.0]",11,65
2018,"Assault (homicide) [X85-Y09, Y87.1]",26,3
2019,"Assault (homicide) [X85-Y09, Y87.1]",25,5
2020,"Assault (homicide) [X85-Y09, Y87.1]",27,4
2021,"Assault (homicide) [X85-Y09, Y87.1]",25,7
2022,"Assault (homicide) [X85-Y09, Y87.1]",28,3
2018,"Legal intervention [Y35, Y89.0]",35,0
